area_cells,atc_ngmL,date,experiment,mRNA_cell,num_intens_totals,operator,spots_totals
364,10.0,20131101,O3_10ngmL,39,6.572154238193332,O3,48
300,10.0,20131101,O3_10ngmL,15,2.6093324177920203,O3,19
297,10.0,20131101,O3_10ngmL,12,2.052991531242847,O3,16
327,10.0,20131101,O3_10ngmL,27,4.572115663385978,O3,34
282,10.0,20131101,O3_10ngmL,9,1.631610589761196,O3,12
290,10.0,20131101,O3_10ngmL,19,3.2467170214389256,O3,25
368,10.0,20131101,O3_10ngmL,4,0.8346632486457616,O3,6
390,10.0,20131101,O3_10ngmL,25,4.208511482413977,O3,30
336,10.0,20131101,O3_10ngmL,12,2.159728389410239,O3,16
277,10.0,20131101,O3_10ngmL,9,1.5231981689173724,O3,11
376,10.0,20131101,O3_10ngmL,15,2.5350423437857628,O3,19
361,10.0,20131101,O3_10ngmL,27,4.544148928053712,O3,34
373,10.0,20131101,O3_10ngmL,21,3.5484489204242013,O3,26
334,10.0,20131101,O3_10ngmL,5,0.9789242389562828,O3,8
294,10.0,20131101,O3_10ngmL,8,1.4750732890821694,O3,11
346,10.0,20131101,O3_10ngmL,9,1.6485755703059437,O3,12
286,10.0,20131101,O3_10ngmL,31,5.203759090562291,O3,38
360,10.0,20131101,O3_10ngmL,41,6.9876585030899525,O3,51
287,10.0,20131101,O3_10ngmL,13,2.2836865796902406,O3,17
338,10.0,20131101,O3_10ngmL,3,0.6575895017929348,O3,5
317,10.0,20131101,O3_10ngmL,13,2.1935545891508355,O3,17
411,10.0,20131101,O3_10ngmL,6,1.1149584191653314,O3,8
307,10.0,20131101,O3_10ngmL,1,0.2178591592278935,O3,2
317,10.0,20131101,O3_10ngmL,9,1.5579430838483252,O3,12
350,10.0,20131101,O3_10ngmL,21,3.658782757305256,O3,27
341,10.0,20131101,O3_10ngmL,24,4.037379354543374,O3,30
359,10.0,20131101,O3_10ngmL,11,1.9662825665674823,O3,14
282,10.0,20131101,O3_10ngmL,0,0.0959822995345998,O3,1
364,10.0,20131101,O3_10ngmL,18,3.1711543450064847,O3,24
337,10.0,20131101,O3_10ngmL,0,0.1633844510566872,O3,2
308,10.0,20131101,O3_10ngmL,18,3.049250019073777,O3,22
361,10.0,20131101,O3_10ngmL,18,3.159127183947509,O3,23
312,10.0,20131101,O3_10ngmL,28,4.759149279011212,O3,36
302,10.0,20131101,O3_10ngmL,18,3.032794079499504,O3,23
343,10.0,20131101,O3_10ngmL,14,2.363703791866941,O3,17
279,10.0,20131101,O3_10ngmL,22,3.690672159914549,O3,27
326,10.0,20131101,O3_10ngmL,25,4.2592782482642875,O3,32
368,10.0,20131101,O3_10ngmL,33,5.660129091325246,O3,43
379,10.0,20131101,O3_10ngmL,14,2.475788509956512,O3,18
361,10.0,20131101,O3_10ngmL,24,4.142247653925383,O3,29
315,10.0,20131101,O3_10ngmL,12,2.1136888685435262,O3,16
311,10.0,20131101,O3_10ngmL,26,4.388715648126954,O3,33
320,10.0,20131101,O3_10ngmL,10,1.6783062485694669,O3,12
296,10.0,20131101,O3_10ngmL,11,1.9400747692072944,O3,15
336,10.0,20131101,O3_10ngmL,16,2.699485770962081,O3,19
342,10.0,20131101,O3_10ngmL,6,1.1321248187991153,O3,8
319,10.0,20131101,O3_10ngmL,13,2.2296879530022125,O3,17
313,10.0,20131101,O3_10ngmL,27,4.553894682230867,O3,34
283,10.0,20131101,O3_10ngmL,5,0.8643106736858167,O3,6
305,10.0,20131101,O3_10ngmL,8,1.4942763408865491,O3,11
349,10.0,20131101,O3_10ngmL,9,1.6285862516212712,O3,12
342,10.0,20131101,O3_10ngmL,6,1.108668650339513,O3,8
328,10.0,20131101,O3_10ngmL,6,1.1308247501335162,O3,8
354,10.0,20131101,O3_10ngmL,20,3.44599557488365,O3,25
302,10.0,20131101,O3_10ngmL,9,1.5423483634699018,O3,12
311,10.0,20131101,O3_10ngmL,19,3.2216875867856865,O3,24
335,10.0,20131101,O3_10ngmL,18,3.0377538719768062,O3,23
269,10.0,20131101,O3_10ngmL,14,2.4618234531166547,O3,18
293,10.0,20131101,O3_10ngmL,9,1.5918760967421983,O3,11
310,10.0,20131101,O3_10ngmL,14,2.376433966582742,O3,18
254,10.0,20131101,O3_10ngmL,1,0.3301503013656825,O3,2
369,10.0,20131101,O3_10ngmL,40,6.839655146105133,O3,50
289,10.0,20131101,O3_10ngmL,19,3.274293125810636,O3,24
276,10.0,20131101,O3_10ngmL,24,4.127514030670634,O3,30
395,10.0,20131101,O3_10ngmL,14,2.4729395895323107,O3,18
329,10.0,20131101,O3_10ngmL,6,1.0072217898832685,O3,8
400,10.0,20131101,O3_10ngmL,15,2.5422444800488275,O3,19
397,10.0,20131101,O3_10ngmL,24,4.1865232318608365,O3,32
322,10.0,20131101,O3_10ngmL,27,4.586365392538338,O3,35
325,10.0,20131101,O3_10ngmL,13,2.196296940566109,O3,16
351,10.0,20131101,O3_10ngmL,20,3.515581963836118,O3,26
354,10.0,20131101,O3_10ngmL,19,3.1915993591210814,O3,24
273,10.0,20131101,O3_10ngmL,15,2.525908293278401,O3,18
300,10.0,20131101,O3_10ngmL,7,1.31039291981384,O3,9
359,10.0,20131101,O3_10ngmL,50,8.52313810940718,O3,63
304,10.0,20131101,O3_10ngmL,3,0.6693898527504384,O3,4
361,10.0,20131101,O3_10ngmL,33,5.632104982070649,O3,42
288,10.0,20131101,O3_10ngmL,7,1.1912809948882273,O3,9
269,10.0,20131101,O3_10ngmL,8,1.3998901350423436,O3,11
332,10.0,20131101,O3_10ngmL,14,2.3511475700007627,O3,17
324,10.0,20131101,O3_10ngmL,18,3.0673777370870523,O3,23
309,10.0,20131101,O3_10ngmL,7,1.2870973983367662,O3,9
372,10.0,20131101,O3_10ngmL,2,0.3727656977187761,O3,3
308,10.0,20131101,O3_10ngmL,1,0.23853635461966885,O3,1
