area_cells,atc_ngmL,date,experiment,mRNA_cell,num_intens_totals,operator,spots_totals
364,10.0,20131101,O3_10ngmL,56,9.393978789959565,O3,70
356,10.0,20131101,O3_10ngmL,14,2.403204394598306,O3,17
371,10.0,20131101,O3_10ngmL,15,2.545464255741207,O3,18
247,10.0,20131101,O3_10ngmL,10,1.7128313115129317,O3,13
309,10.0,20131101,O3_10ngmL,26,4.4580941481651015,O3,34
336,10.0,20131101,O3_10ngmL,37,6.3664789806973365,O3,47
369,10.0,20131101,O3_10ngmL,44,7.455518425268941,O3,56
356,10.0,20131101,O3_10ngmL,21,3.676993972686351,O3,28
370,10.0,20131101,O3_10ngmL,20,3.3801467917906454,O3,25
373,10.0,20131101,O3_10ngmL,37,6.234238193331808,O3,46
259,10.0,20131101,O3_10ngmL,12,2.0561165789272917,O3,15
380,10.0,20131101,O3_10ngmL,28,4.742644388494698,O3,37
285,10.0,20131101,O3_10ngmL,23,3.858179598687724,O3,29
350,10.0,20131101,O3_10ngmL,14,2.3545830472266718,O3,17
330,10.0,20131101,O3_10ngmL,25,4.3425497825589385,O3,32
331,10.0,20131101,O3_10ngmL,5,1.0010467689021132,O3,7
346,10.0,20131101,O3_10ngmL,14,2.4401831082627603,O3,18
345,10.0,20131101,O3_10ngmL,15,2.606494239719234,O3,19
408,10.0,20131101,O3_10ngmL,7,1.3247089341573206,O3,10
411,10.0,20131101,O3_10ngmL,11,1.9402304112306403,O3,15
359,10.0,20131101,O3_10ngmL,10,1.825534447241932,O3,13
371,10.0,20131101,O3_10ngmL,6,1.0403143358510718,O3,8
243,10.0,20131101,O3_10ngmL,9,1.5588859693293655,O3,11
338,10.0,20131101,O3_10ngmL,12,2.040413946746013,O3,15
331,10.0,20131101,O3_10ngmL,8,1.4660499580376896,O3,11
273,10.0,20131101,O3_10ngmL,3,0.5823392080567634,O3,4
407,10.0,20131101,O3_10ngmL,13,2.211072922865643,O3,16
328,10.0,20131101,O3_10ngmL,17,2.9707118333714813,O3,22
372,10.0,20131101,O3_10ngmL,26,4.437625696192875,O3,33
404,10.0,20131101,O3_10ngmL,21,3.529463035019455,O3,27
342,10.0,20131101,O3_10ngmL,31,5.35198986800946,O3,39
275,10.0,20131101,O3_10ngmL,5,0.857566186007477,O3,6
339,10.0,20131101,O3_10ngmL,16,2.7067032883192192,O3,21
313,10.0,20131101,O3_10ngmL,12,2.1008743419546807,O3,16
257,10.0,20131101,O3_10ngmL,3,0.5680231937132829,O3,5
336,10.0,20131101,O3_10ngmL,36,6.103903685053785,O3,45
357,10.0,20131101,O3_10ngmL,35,5.9025833524071105,O3,44
439,10.0,20131101,O3_10ngmL,29,4.950685893034256,O3,37
300,10.0,20131101,O3_10ngmL,2,0.4885877775234607,O3,3
247,10.0,20131101,O3_10ngmL,2,0.4962142366674295,O3,3
308,10.0,20131101,O3_10ngmL,48,8.172360784313728,O3,60
392,10.0,20131101,O3_10ngmL,17,2.9981514610513456,O3,22
322,10.0,20131101,O3_10ngmL,22,3.792486457618067,O3,28
361,10.0,20131101,O3_10ngmL,29,5.023712520027466,O3,37
342,10.0,20131101,O3_10ngmL,7,1.3174578469520102,O3,9
349,10.0,20131101,O3_10ngmL,37,6.2611581597619566,O3,46
327,10.0,20131101,O3_10ngmL,11,1.993865873197528,O3,15
346,10.0,20131101,O3_10ngmL,25,4.258382970931562,O3,32
348,10.0,20131101,O3_10ngmL,22,3.857025894560159,O3,29
298,10.0,20131101,O3_10ngmL,21,3.6361333638513766,O3,27
317,10.0,20131101,O3_10ngmL,24,4.068476386663615,O3,30
267,10.0,20131101,O3_10ngmL,19,3.2241641870756084,O3,24
361,10.0,20131101,O3_10ngmL,33,5.667530327306018,O3,44
304,10.0,20131101,O3_10ngmL,8,1.3542931258106354,O3,9
414,10.0,20131101,O3_10ngmL,18,3.059997375448233,O3,24
337,10.0,20131101,O3_10ngmL,12,2.134013885709926,O3,16
338,10.0,20131101,O3_10ngmL,17,2.981655603875792,O3,23
300,10.0,20131101,O3_10ngmL,8,1.3758947737850002,O3,10
283,10.0,20131101,O3_10ngmL,10,1.7794979781795988,O3,13
335,10.0,20131101,O3_10ngmL,13,2.214151216906997,O3,16
332,10.0,20131101,O3_10ngmL,16,2.8302400854505225,O3,21
356,10.0,20131101,O3_10ngmL,11,1.9082444495307849,O3,15
389,10.0,20131101,O3_10ngmL,17,2.8516669260700387,O3,22
341,10.0,20131101,O3_10ngmL,23,3.907461966887922,O3,29
354,10.0,20131101,O3_10ngmL,25,4.2950158541237515,O3,32
319,10.0,20131101,O3_10ngmL,12,2.152217898832685,O3,16
370,10.0,20131101,O3_10ngmL,29,4.926970321202411,O3,37
328,10.0,20131101,O3_10ngmL,12,2.1111395132372013,O3,15
350,10.0,20131101,O3_10ngmL,23,3.901048294804303,O3,29
331,10.0,20131101,O3_10ngmL,9,1.623363515678645,O3,12
384,10.0,20131101,O3_10ngmL,26,4.452252994583047,O3,32
345,10.0,20131101,O3_10ngmL,47,8.039566643778134,O3,60
396,10.0,20131101,O3_10ngmL,21,3.537981231403067,O3,26
415,10.0,20131101,O3_10ngmL,9,1.5284962233920805,O3,10
341,10.0,20131101,O3_10ngmL,8,1.3615472648203242,O3,10
395,10.0,20131101,O3_10ngmL,15,2.562471961547265,O3,19
339,10.0,20131101,O3_10ngmL,12,2.082841229877165,O3,16
332,10.0,20131101,O3_10ngmL,20,3.4739781795986877,O3,26
410,10.0,20131101,O3_10ngmL,9,1.599893186846722,O3,13
305,10.0,20131101,O3_10ngmL,44,7.464397100785841,O3,56
359,10.0,20131101,O3_10ngmL,11,1.9464255741206988,O3,15
360,10.0,20131101,O3_10ngmL,7,1.239758907454032,O3,9
307,10.0,20131101,O3_10ngmL,23,3.875974059662775,O3,28
323,10.0,20131101,O3_10ngmL,38,6.457907866025788,O3,48
355,10.0,20131101,O3_10ngmL,35,5.9780300602731336,O3,44
336,10.0,20131101,O3_10ngmL,10,1.7985168230716406,O3,12
340,10.0,20131101,O3_10ngmL,12,2.172085145342183,O3,16
284,10.0,20131101,O3_10ngmL,1,0.29455405508506904,O3,3
309,10.0,20131101,O3_10ngmL,27,4.658144441901274,O3,35
313,10.0,20131101,O3_10ngmL,23,3.8938582436865787,O3,28
280,10.0,20131101,O3_10ngmL,6,1.10193942168307,O3,8
295,10.0,20131101,O3_10ngmL,25,4.3352712291142135,O3,31
349,10.0,20131101,O3_10ngmL,15,2.624463263904784,O3,19
468,10.0,20131101,O3_10ngmL,32,5.49949309529259,O3,41
323,10.0,20131101,O3_10ngmL,7,1.1757167925535972,O3,9
327,10.0,20131101,O3_10ngmL,22,3.8095460440985733,O3,29
371,10.0,20131101,O3_10ngmL,8,1.4593881132219424,O3,11
334,10.0,20131101,O3_10ngmL,21,3.5471244373235664,O3,26
342,10.0,20131101,O3_10ngmL,26,4.418272495613032,O3,32
278,10.0,20131101,O3_10ngmL,7,1.1832852674143588,O3,9
383,10.0,20131101,O3_10ngmL,10,1.8402258335240709,O3,13
364,10.0,20131101,O3_10ngmL,24,4.090480750743876,O3,30
348,10.0,20131101,O3_10ngmL,22,3.72101625085832,O3,28
354,10.0,20131101,O3_10ngmL,40,6.800650034332797,O3,50
322,10.0,20131101,O3_10ngmL,24,4.110441504539558,O3,31
316,10.0,20131101,O3_10ngmL,16,2.8170005035477215,O3,21
254,10.0,20131101,O3_10ngmL,6,1.0921553368429082,O3,9
378,10.0,20131101,O3_10ngmL,45,7.559215686274509,O3,56
293,10.0,20131101,O3_10ngmL,4,0.79554119172961,O3,7
283,10.0,20131101,O3_10ngmL,21,3.5994018463416504,O3,27
369,10.0,20131101,O3_10ngmL,17,2.910276951247425,O3,22
333,10.0,20131101,O3_10ngmL,12,2.1462699320973524,O3,17
400,10.0,20131101,O3_10ngmL,16,2.807024032959487,O3,21
292,10.0,20131101,O3_10ngmL,26,4.376299687190051,O3,32
367,10.0,20131101,O3_10ngmL,17,2.9051629816128792,O3,21
346,10.0,20131101,O3_10ngmL,17,2.9863171740291454,O3,22
332,10.0,20131101,O3_10ngmL,12,2.116743480582894,O3,16
359,10.0,20131101,O3_10ngmL,5,0.8974227512016479,O3,6
311,10.0,20131101,O3_10ngmL,2,0.4645395590142671,O3,4
323,10.0,20131101,O3_10ngmL,3,0.5451224536507211,O3,4
329,10.0,20131101,O3_10ngmL,12,2.164440375371939,O3,16
384,10.0,20131101,O3_10ngmL,24,4.0358792095826646,O3,30
411,10.0,20131101,O3_10ngmL,21,3.530003814755473,O3,26
358,10.0,20131101,O3_10ngmL,22,3.741044144350348,O3,27
368,10.0,20131101,O3_10ngmL,23,3.993184100099184,O3,29
348,10.0,20131101,O3_10ngmL,7,1.3156603341725794,O3,9
335,10.0,20131101,O3_10ngmL,22,3.832783459220264,O3,28
271,10.0,20131101,O3_10ngmL,5,0.9265796902418552,O3,7
331,10.0,20131101,O3_10ngmL,27,4.687983276112001,O3,35
393,10.0,20131101,O3_10ngmL,12,2.1033441062027918,O3,17
337,10.0,20131101,O3_10ngmL,21,3.67459220263981,O3,27
398,10.0,20131101,O3_10ngmL,8,1.3530449378194862,O3,9
323,10.0,20131101,O3_10ngmL,14,2.3777615014877544,O3,18
341,10.0,20131101,O3_10ngmL,12,2.1547417410543983,O3,15
313,10.0,20131101,O3_10ngmL,16,2.718834210727092,O3,20
252,10.0,20131101,O3_10ngmL,4,0.7506584267948424,O3,6
392,10.0,20131101,O3_10ngmL,26,4.431166369115742,O3,32
317,10.0,20131101,O3_10ngmL,33,5.536507209887844,O3,42
274,10.0,20131101,O3_10ngmL,5,0.9884682078278784,O3,7
367,10.0,20131101,O3_10ngmL,17,2.8564461738002587,O3,21
326,10.0,20131101,O3_10ngmL,12,2.083524834058137,O3,15
336,10.0,20131101,O3_10ngmL,29,4.891027389944304,O3,36
334,10.0,20131101,O3_10ngmL,9,1.5588077210650797,O3,12
317,10.0,20131101,O3_10ngmL,33,5.66628213931487,O3,41
354,10.0,20131101,O3_10ngmL,15,2.5305531395437555,O3,18
318,10.0,20131101,O3_10ngmL,7,1.2754345006485084,O3,10
318,10.0,20131101,O3_10ngmL,14,2.4810925459678037,O3,18
372,10.0,20131101,O3_10ngmL,37,6.2902682230868985,O3,47
356,10.0,20131101,O3_10ngmL,16,2.7233691920347898,O3,21
398,10.0,20131101,O3_10ngmL,20,3.4155916685740437,O3,25
329,10.0,20131101,O3_10ngmL,11,1.94845551232166,O3,14
327,10.0,20131101,O3_10ngmL,11,1.9590691996643013,O3,15
360,10.0,20131101,O3_10ngmL,30,5.164568551155872,O3,38
293,10.0,20131101,O3_10ngmL,6,1.1280628671702142,O3,9
360,10.0,20131101,O3_10ngmL,15,2.6449805447470816,O3,20
290,10.0,20131101,O3_10ngmL,6,1.1280429694056608,O3,8
354,10.0,20131101,O3_10ngmL,12,2.0630289158464943,O3,16
342,10.0,20131101,O3_10ngmL,7,1.2050415808346684,O3,9
361,10.0,20131101,O3_10ngmL,19,3.3486503395132368,O3,25
349,10.0,20131101,O3_10ngmL,15,2.521104753185321,O3,20
389,10.0,20131101,O3_10ngmL,17,3.0129976348516063,O3,21
389,10.0,20131101,O3_10ngmL,38,6.449144060425726,O3,48
279,10.0,20131101,O3_10ngmL,18,3.0368566414892806,O3,22
380,10.0,20131101,O3_10ngmL,8,1.380764232852674,O3,11
335,10.0,20131101,O3_10ngmL,26,4.514999435416191,O3,34
354,10.0,20131101,O3_10ngmL,31,5.268083558403906,O3,39
316,10.0,20131101,O3_10ngmL,20,3.3884489204242003,O3,25
318,10.0,20131101,O3_10ngmL,12,2.1120988784618904,O3,16
268,10.0,20131101,O3_10ngmL,4,0.8308293278400856,O3,6
317,10.0,20131101,O3_10ngmL,35,5.935393301289388,O3,45
352,10.0,20131101,O3_10ngmL,22,3.848996597238117,O3,28
327,10.0,20131101,O3_10ngmL,10,1.7201434348058289,O3,13
348,10.0,20131101,O3_10ngmL,8,1.3534721904325933,O3,10
332,10.0,20131101,O3_10ngmL,9,1.5380834058136872,O3,11
340,10.0,20131101,O3_10ngmL,30,5.081129167620356,O3,37
274,10.0,20131101,O3_10ngmL,16,2.7885984588387887,O3,20
303,10.0,20131101,O3_10ngmL,13,2.283051804379338,O3,16
347,10.0,20131101,O3_10ngmL,15,2.623492790112154,O3,20
412,10.0,20131101,O3_10ngmL,18,3.1038773174639505,O3,23
418,10.0,20131101,O3_10ngmL,57,9.63108567940795,O3,71
378,10.0,20131101,O3_10ngmL,43,7.339691462577246,O3,54
392,10.0,20131101,O3_10ngmL,25,4.274479285877773,O3,32
321,10.0,20131101,O3_10ngmL,10,1.8394315098802163,O3,13
274,10.0,20131101,O3_10ngmL,14,2.4923368581673913,O3,18
439,10.0,20131101,O3_10ngmL,27,4.624698252841992,O3,34
299,10.0,20131101,O3_10ngmL,9,1.6549996185244529,O3,13
329,10.0,20131101,O3_10ngmL,28,4.732812329289692,O3,35
364,10.0,20131101,O3_10ngmL,14,2.4535683222705424,O3,18
320,10.0,20131101,O3_10ngmL,6,1.1719966430151822,O3,8
340,10.0,20131101,O3_10ngmL,21,3.647421988250553,O3,27
325,10.0,20131101,O3_10ngmL,19,3.295014877546349,O3,24
356,10.0,20131101,O3_10ngmL,20,3.4047403067063406,O3,25
330,10.0,20131101,O3_10ngmL,19,3.348632028686961,O3,25
312,10.0,20131101,O3_10ngmL,13,2.20509187457084,O3,16
378,10.0,20131101,O3_10ngmL,23,3.967953002212559,O3,30
318,10.0,20131101,O3_10ngmL,27,4.600338506141757,O3,34
289,10.0,20131101,O3_10ngmL,9,1.6576882581826506,O3,13
311,10.0,20131101,O3_10ngmL,10,1.83575188830396,O3,13
318,10.0,20131101,O3_10ngmL,28,4.7081101701380925,O3,35
303,10.0,20131101,O3_10ngmL,21,3.5756989700160218,O3,26
336,10.0,20131101,O3_10ngmL,15,2.6239108873121233,O3,18
277,10.0,20131101,O3_10ngmL,7,1.3298146028839557,O3,9
289,10.0,20131101,O3_10ngmL,17,2.899238574807355,O3,22
412,10.0,20131101,O3_10ngmL,52,8.74216830701152,O3,64
325,10.0,20131101,O3_10ngmL,0,0.15420767528801405,O3,0
310,10.0,20131101,O3_10ngmL,13,2.3081681544213017,O3,17
331,10.0,20131101,O3_10ngmL,24,4.0847028305485615,O3,30
264,10.0,20131101,O3_10ngmL,12,2.0428259708552683,O3,15
355,10.0,20131101,O3_10ngmL,13,2.262464332036316,O3,17
375,10.0,20131101,O3_10ngmL,16,2.746623941405356,O3,20
271,10.0,20131101,O3_10ngmL,5,0.8790173189898529,O3,6
293,10.0,20131101,O3_10ngmL,22,3.6999384145876246,O3,27
327,10.0,20131101,O3_10ngmL,8,1.43950804913405,O3,11
405,10.0,20131101,O3_10ngmL,26,4.371719905394064,O3,32
429,10.0,20131101,O3_10ngmL,33,5.626376134889751,O3,41
331,10.0,20131101,O3_10ngmL,15,2.5551659418631263,O3,20
404,10.0,20131101,O3_10ngmL,22,3.801176897840848,O3,28
374,10.0,20131101,O3_10ngmL,11,2.01145342183566,O3,15
369,10.0,20131101,O3_10ngmL,5,0.940636301213092,O3,7
350,10.0,20131101,O3_10ngmL,26,4.403990295262073,O3,33
294,10.0,20131101,O3_10ngmL,18,3.158179049362936,O3,23
416,10.0,20131101,O3_10ngmL,12,2.043222705424582,O3,15
345,10.0,20131101,O3_10ngmL,16,2.8363645685511534,O3,21
399,10.0,20131101,O3_10ngmL,27,4.530318150606546,O3,33
285,10.0,20131101,O3_10ngmL,23,3.943508049134051,O3,28
325,10.0,20131101,O3_10ngmL,1,0.3104417486839094,O3,2
322,10.0,20131101,O3_10ngmL,27,4.529909086747539,O3,33
324,10.0,20131101,O3_10ngmL,28,4.737331074998092,O3,36
400,10.0,20131101,O3_10ngmL,36,6.201660181582361,O3,46
389,10.0,20131101,O3_10ngmL,28,4.709956511787595,O3,35
376,10.0,20131101,O3_10ngmL,13,2.1961801174944693,O3,17
362,10.0,20131101,O3_10ngmL,31,5.217298115510794,O3,39
330,10.0,20131101,O3_10ngmL,35,6.013305867093919,O3,45
395,10.0,20131101,O3_10ngmL,0,-0.003231860837720293,O3,0
317,10.0,20131101,O3_10ngmL,16,2.7379995422293435,O3,19
270,10.0,20131101,O3_10ngmL,10,1.7814419775692376,O3,13
351,10.0,20131101,O3_10ngmL,9,1.6339055466544592,O3,12
347,10.0,20131101,O3_10ngmL,30,5.0970371252002735,O3,37
318,10.0,20131101,O3_10ngmL,17,2.963497245746547,O3,22
316,10.0,20131101,O3_10ngmL,35,5.897407492179752,O3,43
346,10.0,20131101,O3_10ngmL,20,3.4601968413824666,O3,26
249,10.0,20131101,O3_10ngmL,15,2.59179259937438,O3,19
312,10.0,20131101,O3_10ngmL,18,3.0435767147325863,O3,23
282,10.0,20131101,O3_10ngmL,12,2.050768719005112,O3,15
363,10.0,20131101,O3_10ngmL,44,7.533402914473179,O3,56
374,10.0,20131101,O3_10ngmL,37,6.269718471046008,O3,46
286,10.0,20131101,O3_10ngmL,16,2.7931456473640033,O3,21
312,10.0,20131101,O3_10ngmL,18,3.1638208590829326,O3,23
329,10.0,20131101,O3_10ngmL,23,3.8868818188754095,O3,30
310,10.0,20131101,O3_10ngmL,6,1.0242191195544366,O3,8
303,10.0,20131101,O3_10ngmL,9,1.550411230640116,O3,10
313,10.0,20131101,O3_10ngmL,24,4.099195849546044,O3,31
318,10.0,20131101,O3_10ngmL,11,1.9711268787670708,O3,14
375,10.0,20131101,O3_10ngmL,15,2.6047760738536656,O3,20
296,10.0,20131101,O3_10ngmL,12,2.1602197299153127,O3,16
338,10.0,20131101,O3_10ngmL,23,4.017300679026474,O3,31
343,10.0,20131101,O3_10ngmL,26,4.450287632562753,O3,33
376,10.0,20131101,O3_10ngmL,10,1.8272037842374305,O3,13
322,10.0,20131101,O3_10ngmL,26,4.4642296177615,O3,34
446,10.0,20131101,O3_10ngmL,1,0.18779424734874492,O3,2
317,10.0,20131101,O3_10ngmL,11,1.8661295490959025,O3,14
367,10.0,20131101,O3_10ngmL,28,4.761239032578012,O3,36
335,10.0,20131101,O3_10ngmL,21,3.661414511329824,O3,26
310,10.0,20131101,O3_10ngmL,13,2.2822018158236053,O3,17
367,10.0,20131101,O3_10ngmL,18,3.036740672922865,O3,23
347,10.0,20131101,O3_10ngmL,12,2.1194423743038064,O3,15
289,10.0,20131101,O3_10ngmL,18,3.094322117952239,O3,23
305,10.0,20131101,O3_10ngmL,24,4.182510109102006,O3,31
313,10.0,20131101,O3_10ngmL,17,2.9515111009384287,O3,22
341,10.0,20131101,O3_10ngmL,19,3.1965056839856567,O3,25
268,10.0,20131101,O3_10ngmL,10,1.7260761425192637,O3,13
256,10.0,20131101,O3_10ngmL,14,2.5029998626688017,O3,18
353,10.0,20131101,O3_10ngmL,14,2.466851728084229,O3,19
283,10.0,20131101,O3_10ngmL,26,4.446047089341573,O3,32
396,10.0,20131101,O3_10ngmL,12,2.0393079728389405,O3,15
385,10.0,20131101,O3_10ngmL,22,3.775475700007629,O3,28
364,10.0,20131101,O3_10ngmL,18,3.0293196612497137,O3,22
312,10.0,20131101,O3_10ngmL,15,2.6787894102388035,O3,19
301,10.0,20131101,O3_10ngmL,22,3.822565041580834,O3,28
349,10.0,20131101,O3_10ngmL,14,2.4435797665369647,O3,18
333,10.0,20131101,O3_10ngmL,23,4.001840238040741,O3,29
287,10.0,20131101,O3_10ngmL,19,3.3301228351262693,O3,24
350,10.0,20131101,O3_10ngmL,13,2.253944182497901,O3,17
262,10.0,20131101,O3_10ngmL,4,0.8048554207675289,O3,6
357,10.0,20131101,O3_10ngmL,35,6.018341344319827,O3,44
331,10.0,20131101,O3_10ngmL,17,2.9233478294041344,O3,22
370,10.0,20131101,O3_10ngmL,14,2.4434829633020514,O3,18
353,10.0,20131101,O3_10ngmL,21,3.5912055542839694,O3,27
430,10.0,20131101,O3_10ngmL,21,3.5788131532768737,O3,26
325,10.0,20131101,O3_10ngmL,22,3.717634851606012,O3,27
294,10.0,20131101,O3_10ngmL,5,0.9154589150835432,O3,7
346,10.0,20131101,O3_10ngmL,16,2.6866834515907527,O3,20
395,10.0,20131101,O3_10ngmL,9,1.551934081025406,O3,12
295,10.0,20131101,O3_10ngmL,11,1.9534416723888002,O3,14
269,10.0,20131101,O3_10ngmL,23,3.98738689250019,O3,30
391,10.0,20131101,O3_10ngmL,7,1.2830929427023732,O3,10
383,10.0,20131101,O3_10ngmL,30,5.116136415655758,O3,38
375,10.0,20131101,O3_10ngmL,43,7.305394064240482,O3,54
277,10.0,20131101,O3_10ngmL,6,1.13066910811017,O3,8
315,10.0,20131101,O3_10ngmL,17,3.0129695582513163,O3,22
311,10.0,20131101,O3_10ngmL,24,4.029495689326314,O3,29
260,10.0,20131101,O3_10ngmL,5,0.9978453040360108,O3,8
317,10.0,20131101,O3_10ngmL,19,3.2888349736781874,O3,24
353,10.0,20131101,O3_10ngmL,38,6.473594262607768,O3,48
313,10.0,20131101,O3_10ngmL,19,3.2725255207141206,O3,24
310,10.0,20131101,O3_10ngmL,15,2.6018127718013275,O3,19
340,10.0,20131101,O3_10ngmL,11,1.988918898298619,O3,15
375,10.0,20131101,O3_10ngmL,15,2.659143968871595,O3,19
314,10.0,20131101,O3_10ngmL,18,3.0557045853360805,O3,23
380,10.0,20131101,O3_10ngmL,18,3.08380547798886,O3,23
401,10.0,20131101,O3_10ngmL,26,4.434650186923019,O3,33
404,10.0,20131101,O3_10ngmL,16,2.7412075989929043,O3,20
344,10.0,20131101,O3_10ngmL,16,2.848401617456321,O3,20
399,10.0,20131101,O3_10ngmL,28,4.823190661478598,O3,36
369,10.0,20131101,O3_10ngmL,14,2.4071869993133443,O3,17
280,10.0,20131101,O3_10ngmL,6,1.083363088426032,O3,8
362,10.0,20131101,O3_10ngmL,8,1.3663691157396811,O3,11
368,10.0,20131101,O3_10ngmL,14,2.3504936293583576,O3,17
